Federal Provider Number,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Most Recent Health Inspection More Than 2 Years Ago,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date,Latitude,Adjusted Total Nurse Staffing Hours per Resident per Day,Longitude
145526,GOTTLIEB MEMORIAL HOSPITAL,MELROSE PARK,IL,60160,Cook,Non profit - Corporation,32,31,Medicare and Medicaid,True,False,Yes,5.0,5.0,4.0,5.0,13.333,0,0,0,$0.00,0,0,"701 WEST NORTH AVENUE
MELROSE PARK, IL 60160
(41.908353, -87.840438)",09/01/2016,41.908353,3.78446,-87.840438
115673,LAUREL PARK AT HENRY MED CTR,STOCKBRIDGE,GA,30281,Henry,For profit - Corporation,89,84,Medicare and Medicaid,False,False,Yes,5.0,4.0,3.0,3.0,4.667,0,0,0,$0.00,0,0,"1050 HOSPITAL DRIVE
STOCKBRIDGE, GA 30281
(33.513071, -84.227302)",09/01/2016,33.513071,3.46025,-84.227302
145779,PARK VILLA  NRSG & REHAB CENTER,PALOS HEIGHTS,IL,60463,Cook,For profit - Partnership,101,72,Medicare and Medicaid,False,False,Yes,5.0,4.0,3.0,5.0,29.333,2,9,0,$0.00,0,0,"12550 SOUTH RIDGELAND AVENUE
PALOS HEIGHTS, IL 60463
(41.663601, -87.777828)",09/01/2016,41.663601,3.53992,-87.777828
146005,PAXTON HEALTHCARE AND REHAB,PAXTON,IL,60957,Ford,For profit - Corporation,76,59,Medicare and Medicaid,False,False,Yes,1.0,2.0,3.0,4.0,68.667,0,12,1,$1040.00,0,1,"1240 NORTH MARKET STREET
PAXTON, IL 60957
(40.471378, -88.092274)",09/01/2016,40.471378,3.30283,-88.092274
145376,OAKVIEW HTS CONT C & REHAB CTR,MOUNT CARMEL,IL,62863,Wabash,Non profit - Corporation,90,75,Medicare and Medicaid,False,False,Yes,3.0,3.0,4.0,5.0,37.333,0,0,0,$0.00,0,0,"1320 WEST 9TH STREET
MOUNT CARMEL, IL 62863
(38.410991, -87.778563)",09/01/2016,38.410991,4.28818,-87.778563
145668,BRIA OF BELLEVILLE,BELLEVILLE,IL,62226,St. Clair,For profit - Individual,140,122,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,2.0,109.333,1,17,0,$0.00,0,0,"150 NORTH 27TH STREET
BELLEVILLE, IL 62226
(38.525934, -90.009532)",09/01/2016,38.525934,3.85848,-90.009532
155145,WASHINGTON NURSING CENTER,WASHINGTON,IN,47501,Daviess,Government - County,140,59,Medicare and Medicaid,False,False,Yes,1.0,1.0,2.0,4.0,134.0,0,14,1,$1463.00,0,1,"603 E NATIONAL HWY
WASHINGTON, IN 47501
(38.652354, -87.167504)",09/01/2016,38.652354,3.106,-87.167504
145039,HEARTLAND OF PEORIA,PEORIA,IL,61614,Peoria,For profit - Corporation,144,112,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,3.0,61.0,0,24,1,$40951.00,0,1,"5600 GLEN ELM DRIVE
PEORIA, IL 61614
(40.754222, -89.590841)",09/01/2016,40.754222,3.35315,-89.590841
135133,IDAHO STATE VETERANS HOME - LEWISTON,LEWISTON,ID,83501,Nez Perce,Government - State,66,64,Medicare and Medicaid,False,False,Yes,3.0,2.0,3.0,4.0,95.0,0,7,2,$2210.00,0,2,"821 21ST AVENUE
LEWISTON, ID 83501
(46.398522, -117.020007)",09/01/2016,46.398522,3.44478,-117.020007
145476,OREGON LIVING AND REHABILITATION CENTER,OREGON,IL,61061,Ogle,For profit - Partnership,104,66,Medicare and Medicaid,False,False,Yes,4.0,4.0,3.0,3.0,28.667,0,1,1,$7898.00,0,1,"811 SOUTH 10TH STREET
OREGON, IL 61061
(42.006044, -89.340824)",09/01/2016,42.006044,3.37723,-89.340824
115652,CHERRY BLOSSOM HEALTH AND REHABILITATION,MACON,GA,31206,Bibb,Non profit - Other,82,68,Medicare and Medicaid,False,False,Yes,5.0,5.0,1.0,2.0,1.333,0,0,0,$0.00,0,0,"3520 KENNETH DRIVE
MACON, GA 31206
(32.795431, -83.695568)",09/01/2016,32.795431,2.93069,-83.695568
155042,WILLOW MANOR,VINCENNES,IN,47591,Knox,Non profit - Other,170,143,Medicare and Medicaid,False,False,Yes,1.0,1.0,2.0,4.0,184.0,0,17,3,$50863.00,0,3,"3801 OLD BRUCEVILLE RD
VINCENNES, IN 47591
(38.699894, -87.477894)",09/01/2016,38.699894,3.07635,-87.477894
146014,MERCY HARVARD HOSPITAL CARE CENTER,HARVARD,IL,60033,Mc Henry,Non profit - Corporation,34,24,Medicare and Medicaid,True,False,Yes,5.0,5.0,5.0,5.0,9.333,0,0,0,$0.00,0,0,"901 SOUTH GRANT
HARVARD, IL 60033
(42.425992, -88.607748)",09/01/2016,42.425992,4.81199,-88.607748
145950,GENERATIONS AT ROCK ISLAND,ROCK ISLAND,IL,61201,Rock Island,For profit - Corporation,177,109,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,3.0,194.667,0,22,0,$0.00,0,0,"2545 24TH STREET
ROCK ISLAND, IL 61201
(41.483474, -90.567103)",09/01/2016,41.483474,3.47543,-90.567103
155148,NORTH PARK NURSING CENTER,EVANSVILLE,IN,47710,Vanderburgh,Government - County,103,95,Medicare and Medicaid,False,False,Yes,3.0,2.0,3.0,5.0,43.333,0,11,1,$8750.00,0,1,"650 FAIRWAY DR
EVANSVILLE, IN 47710
(38.009869, -87.572066)",09/01/2016,38.009869,3.43915,-87.572066
145503,DOUGLAS NURSING & REHAB CENTER,MATTOON,IL,61938,Coles,For profit - Corporation,79,34,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,2.0,142.333,4,17,0,$0.00,0,0,"3516 POWELL LANE
MATTOON, IL 61938
(39.490529, -88.40182)",09/01/2016,39.490529,4.40527,-88.40182
146089,GOOD SAMARITAN - FLANAGAN,FLANAGAN,IL,61740,Livingston,Non profit - Corporation,60,22,Medicare and Medicaid,False,False,Yes,2.0,1.0,5.0,5.0,82.667,6,5,1,$40398.00,1,2,"205 NORTH ADAMS
FLANAGAN, IL 61740
(40.879941, -88.853862)",09/01/2016,40.879941,5.49722,-88.853862
146077,PARK POINTE HEALTHCARE & REHAB,MORRIS,IL,60450,Grundy,For profit - Corporation,142,114,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,4.0,58.667,1,5,0,$0.00,0,0,"1223 EDGEWATER
MORRIS, IL 60450
(41.367643, -88.447708)",09/01/2016,41.367643,3.55076,-88.447708
145625,CALIFORNIA GARDENS N & REHAB C,CHICAGO,IL,60608,Cook,For profit - Corporation,297,279,Medicare and Medicaid,False,False,Yes,1.0,1.0,1.0,1.0,82.0,6,35,0,$0.00,0,0,"2829 SOUTH CALIFORNIA BLVD
CHICAGO, IL 60608
(41.840607, -87.694259)",09/01/2016,41.840607,2.37645,-87.694259
14E593,REST HAVEN MANOR,ALBION,IL,62806,Edwards,For profit - Individual,39,29,Medicaid,False,False,Yes,4.0,2.0,4.0,5.0,50.0,0,2,0,$0.00,0,0,"120 WEST MAIN
ALBION, IL 62806
(38.377001, -88.063847)",09/01/2016,38.377001,4.03754,-88.063847
146115,NEW ATHENS HOME FOR THE AGED,NEW ATHENS,IL,62264,St. Clair,Non profit - Church related,53,40,Medicare and Medicaid,False,False,Yes,1.0,2.0,1.0,1.0,64.667,0,6,0,$0.00,0,0,"203 SOUTH JOHNSON STREET
NEW ATHENS, IL 62264
(38.323526, -89.877326)",09/01/2016,38.323526,3.51207,-89.877326
146116,LA SALLE COUNTY NURSING HOME,OTTAWA,IL,61350,La Salle,Government - County,91,65,Medicare and Medicaid,False,False,Yes,4.0,4.0,4.0,4.0,26.667,0,0,0,$0.00,0,0,"1380 NORTH 27TH ROAD
OTTAWA, IL 61350
(41.331725, -88.897772)",09/01/2016,41.331725,3.80128,-88.897772
145573,SWEDISH COVENANT HOSPITAL,CHICAGO,IL,60625,Cook,Non profit - Church related,46,12,Medicare,True,False,Yes,5.0,5.0,5.0,5.0,4.667,0,0,0,$0.00,0,0,"5145 NORTH CALIFORNIA
CHICAGO, IL 60625
(41.975243, -87.698917)",09/01/2016,41.975243,10.09768,-87.698917
145370,SULLIVAN REHAB & HLTH CARE CTR,SULLIVAN,IL,61951,Moultrie,For profit - Individual,123,65,Medicare and Medicaid,False,False,Yes,3.0,3.0,4.0,3.0,32.0,0,0,0,$0.00,0,0,"11 HAWTHORNE LANE
SULLIVAN, IL 61951
(39.584407, -88.605522)",09/01/2016,39.584407,4.65981,-88.605522
146002,DAYSTAR NURSING & REHAB CENTER,CAIRO,IL,62914,Alexander,For profit - Corporation,83,67,Medicare and Medicaid,False,False,Yes,1.0,2.0,2.0,3.0,54.667,0,11,0,$0.00,0,0,"2001 CEDAR STREET
CAIRO, IL 62914
(37.002806, -89.178966)",09/01/2016,37.002806,2.98913,-89.178966
145268,GLENVIEW TERRACE NURSING CTR,GLENVIEW,IL,60025,Cook,For profit - Partnership,314,232,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,5.0,52.667,4,2,0,$0.00,0,0,"1511 GREENWOOD ROAD
GLENVIEW, IL 60025
(42.082547, -87.839479)",09/01/2016,42.082547,3.82313,-87.839479
145974,NORWOOD CROSSING,CHICAGO,IL,60631,Cook,Non profit - Corporation,131,119,Medicare and Medicaid,False,False,Yes,4.0,5.0,4.0,5.0,14.667,0,0,0,$0.00,0,0,"6016 NORTH NINA AVENUE
CHICAGO, IL 60631
(41.990982, -87.799789)",09/01/2016,41.990982,4.11644,-87.799789
145336,WARREN BARR LIVING & REHAB CTR,CHICAGO,IL,60610,Cook,For profit - Corporation,271,179,Medicare and Medicaid,False,False,Yes,2.0,1.0,5.0,5.0,106.0,0,41,0,$0.00,0,0,"66 WEST OAK STREET
CHICAGO, IL 60610
(41.900579, -87.630392)",09/01/2016,41.900579,4.60713,-87.630392
145769,FRIENDSHIP SKILLED NSG & REHAB,CARLINVILLE,IL,62626,Macoupin,For profit - Corporation,49,32,Medicare and Medicaid,False,False,Yes,5.0,5.0,2.0,4.0,9.333,0,4,0,$0.00,0,0,"826 NORTH HIGH
CARLINVILLE, IL 62626
(39.288866, -89.878478)",09/01/2016,39.288866,3.11098,-89.878478
115645,GWINNETT EXTENDED CARE CENTER,LAWRENCEVILLE,GA,30046,Gwinnett,Non profit - Corporation,89,83,Medicare and Medicaid,True,False,Yes,4.0,4.0,4.0,4.0,6.667,0,0,1,$6630.00,0,1,"650 PROFESSIONAL DRIVE
LAWRENCEVILLE, GA 30046
(33.961659, -84.014908)",09/01/2016,33.961659,4.28408,-84.014908
145891,ROSEWOOD CARE CENTER OF ROCKFORD,ROCKFORD,IL,61108,Winnebago,For profit - Corporation,116,76,Medicare and Medicaid,False,False,Yes,4.0,3.0,4.0,4.0,45.333,0,11,0,$0.00,0,0,"1660 SOUTH MULFORD
ROCKFORD, IL 61108
(42.25175, -88.999665)",09/01/2016,42.25175,3.6824,-88.999665
146104,FARMER CITY REHAB & HEALTHCARE,FARMER CITY,IL,61842,De Witt,For profit - Corporation,56,49,Medicare and Medicaid,False,False,Yes,3.0,3.0,2.0,3.0,42.0,0,8,0,$0.00,0,0,"404 BROOKVIEW DRIVE
FARMER CITY, IL 61842
(40.247368, -88.650278)",09/01/2016,40.247368,2.53237,-88.650278
145608,MANORCARE OF SOUTH HOLLAND,SOUTH HOLLAND,IL,60473,Cook,For profit - Corporation,216,137,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,5.0,125.333,5,57,1,$20183.00,0,1,"2145 EAST 170TH STREET
SOUTH HOLLAND, IL 60473
(41.586453, -87.564819)",09/01/2016,41.586453,3.8205,-87.564819
125028,KAU HOSPITAL,PAHALA,HI,96777,Hawaii,Government - State,16,13,Medicare and Medicaid,True,False,Yes,3.0,3.0,,,35.333,0,0,0,$0.00,0,0,"1 KAMANI STREET
PAHALA, HI 96777
(19.200571, -155.472097)",09/01/2016,19.200571,,-155.472097
155076,GOLDEN LIVING CENTER-BROOKVIEW,INDIANAPOLIS,IN,46219,Marion,Government - County,136,80,Medicare and Medicaid,False,False,Yes,1.0,1.0,2.0,2.0,104.833,6,21,1,$15080.00,0,1,"7145 E 21ST STREET
INDIANAPOLIS, IN 46219
(39.79637, -86.042103)",09/01/2016,39.79637,3.48058,-86.042103
145843,MILLER HEALTH CARE CENTER,KANKAKEE,IL,60901,Kankakee,Non profit - Corporation,120,78,Medicare and Medicaid,False,False,Yes,5.0,5.0,5.0,5.0,10.667,0,4,0,$0.00,0,0,"1601 BUTTERFIELD TRAIL
KANKAKEE, IL 60901
(41.124347, -87.887754)",09/01/2016,41.124347,6.41592,-87.887754
135067,GOOD SAMARITAN SOCIETY - MOSCOW VILLAGE,MOSCOW,ID,83843,Latah,Non profit - Church related,64,51,Medicare and Medicaid,False,False,Yes,4.0,3.0,3.0,5.0,73.333,0,5,1,$1300.00,0,1,"640 NORTH EISENHOWER STREET
MOSCOW, ID 83843
(46.738985, -116.973663)",09/01/2016,46.738985,3.5045,-116.973663
146100,WALKER NURSING HOME,VIRGINIA,IL,62691,Cass,For profit - Corporation,71,43,Medicare and Medicaid,False,False,Yes,5.0,5.0,3.0,3.0,6.667,0,0,0,$0.00,0,0,"530 EAST BEARDSTOWN STREET
VIRGINIA, IL 62691
(39.947323, -90.20558)",09/01/2016,39.947323,3.90525,-90.20558
155139,NORTH WOODS VILLAGE,KOKOMO,IN,46901,Howard,Non profit - Corporation,164,157,Medicare and Medicaid,False,False,Yes,3.0,2.0,2.0,3.0,64.0,0,5,0,$0.00,0,0,"2233 W JEFFERSON ST
KOKOMO, IN 46901
(40.490686, -86.16123)",09/01/2016,40.490686,3.01219,-86.16123
146086,TUSCOLA HEALTH CARE CENTER,TUSCOLA,IL,61953,Douglas,For profit - Corporation,71,56,Medicare and Medicaid,False,False,Yes,5.0,5.0,2.0,3.0,6.667,0,0,0,$0.00,0,0,"1203 EGYPTIAN TRAIL
TUSCOLA, IL 61953
(39.785919, -88.283193)",09/01/2016,39.785919,2.94797,-88.283193
145337,SYMPHONY OF BRONZEVILLE,CHICAGO,IL,60616,Cook,For profit - Individual,302,278,Medicare and Medicaid,False,False,Yes,3.0,3.0,1.0,1.0,42.0,0,30,0,$0.00,0,0,"3400 SOUTH INDIANA
CHICAGO, IL 60616
(41.832778, -87.621794)",09/01/2016,41.832778,3.11727,-87.621794
145038,HEARTLAND OF DECATUR,DECATUR,IL,62526,Macon,For profit - Corporation,117,82,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,4.0,157.667,2,33,6,$83708.00,0,6,"444 WEST HARRISON STREET
DECATUR, IL 62526
(39.863693, -88.96188)",09/01/2016,39.863693,3.54167,-88.96188
145446,MARIGOLD REHABILITATION HCC,GALESBURG,IL,61401,Knox,For profit - Corporation,172,118,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,3.0,103.667,0,20,0,$0.00,0,0,"275 EAST CARL SANDBURG DRIVE
GALESBURG, IL 61401
(40.976622, -90.366004)",09/01/2016,40.976622,3.55824,-90.366004
145967,WINDSOR ESTATES NSG & REHAB,TINLEY PARK,IL,60477,Cook,For profit - Individual,111,89,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,5.0,69.333,4,29,2,$12284.00,0,2,"18300 S LAVERGNE AVE
TINLEY PARK, IL 60477
(41.559892, -87.737896)",09/01/2016,41.559892,3.86325,-87.737896
145858,ELMWOOD NURSING & REHAB CENTER,MARYVILLE,IL,62062,Madison,For profit - Corporation,104,71,Medicare and Medicaid,False,False,Yes,4.0,3.0,3.0,2.0,38.0,0,7,0,$0.00,0,0,"152 WILMA DRIVE
MARYVILLE, IL 62062
(38.711471, -89.959002)",09/01/2016,38.711471,3.88167,-89.959002
146177,RESTHAVE HOME-WHITESIDE COUNTY,MORRISON,IL,61270,Whiteside,Non profit - Corporation,70,63,Medicare and Medicaid,False,False,Yes,4.0,3.0,3.0,3.0,37.6,0,0,0,$0.00,0,0,"408 MAPLE AVENUE
MORRISON, IL 61270
(41.803137, -89.956239)",09/01/2016,41.803137,4.09552,-89.956239
145832,RIDGEVIEW REHAB & NURSING CENTER,CHICAGO,IL,60626,Cook,For profit - Partnership,136,111,Medicare and Medicaid,False,False,Yes,3.0,3.0,1.0,2.0,42.667,0,1,1,$6760.00,1,2,"6450 NORTH RIDGE BLVD
CHICAGO, IL 60626
(41.999402, -87.677501)",09/01/2016,41.999402,2.28101,-87.677501
145846,ROSEWOOD CARE CENTER OF EDWARDSVILLE,EDWARDSVILLE,IL,62025,Madison,For profit - Corporation,116,89,Medicare and Medicaid,False,False,Yes,4.0,4.0,4.0,5.0,30.0,0,5,0,$0.00,0,0,"6277 CENTER GROVE ROAD
EDWARDSVILLE, IL 62025
(38.787242, -89.972603)",09/01/2016,38.787242,3.82479,-89.972603
145965,MCKINLEY COURT,DECATUR,IL,62526,Macon,For profit - Corporation,150,126,Medicare and Medicaid,False,False,Yes,5.0,3.0,4.0,3.0,46.667,0,7,0,$0.00,0,0,"500 WEST MCKINLEY AVENUE
DECATUR, IL 62526
(39.869388, -88.961702)",09/01/2016,39.869388,4.33659,-88.961702
145343,AMBASSADOR NURSING & REHAB CENTER,CHICAGO,IL,60625,Cook,For profit - Corporation,190,143,Medicare and Medicaid,False,False,Yes,2.0,3.0,1.0,2.0,38.667,0,1,0,$0.00,0,0,"4900 NORTH BERNARD
CHICAGO, IL 60625
(41.970239, -87.714659)",09/01/2016,41.970239,2.47828,-87.714659
135134,BENNETT HILLS CENTER,GOODING,ID,83330,Gooding,For profit - Corporation,80,34,Medicare and Medicaid,False,False,Yes,5.0,5.0,3.0,3.0,14.0,0,0,0,$0.00,0,0,"1220 MONTANA STREET
GOODING, ID 83330
(42.932823, -114.710309)",09/01/2016,42.932823,3.73047,-114.710309
146001,APERION CARE INTERNATIONAL,CHICAGO,IL,60609,Cook,For profit - Corporation,218,157,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,4.0,50.0,0,20,0,$0.00,0,0,"4815 SOUTH WESTERN AVE
CHICAGO, IL 60609
(41.806317, -87.684379)",09/01/2016,41.806317,4.32555,-87.684379
145735,BRIA OF RIVER OAKS,BURNHAM,IL,60633,Cook,For profit - Corporation,309,261,Medicare and Medicaid,False,False,Yes,2.0,2.0,1.0,2.0,73.333,1,13,0,$0.00,0,0,"14500 SOUTH MANISTEE
BURNHAM, IL 60633
(41.630855, -87.55543)",09/01/2016,41.630855,2.54388,-87.55543
145597,PEKIN MANOR,PEKIN,IL,61554,Tazewell,Non profit - Corporation,130,107,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,3.0,56.0,0,11,0,$0.00,0,0,"1520 EL CAMINO DRIVE
PEKIN, IL 61554
(40.539961, -89.629661)",09/01/2016,40.539961,3.88914,-89.629661
146159,"TERRACE NURSING HOME,THE",WAUKEGAN,IL,60087,Lake,For profit - Corporation,115,97,Medicare and Medicaid,False,False,Yes,3.0,3.0,3.0,5.0,38.667,0,0,0,$0.00,0,0,"1615 SUNSET AVENUE
WAUKEGAN, IL 60087
(42.391979, -87.850927)",09/01/2016,42.391979,3.08696,-87.850927
155093,GIBSON GENERAL HOSPITAL-SNF,PRINCETON,IN,47670,Gibson,Government - County,45,41,Medicare and Medicaid,False,False,Yes,3.0,3.0,4.0,5.0,42.0,0,1,0,$0.00,0,0,"1808 SHERMAN DR
PRINCETON, IN 47670
(38.360231, -87.589559)",09/01/2016,38.360231,4.06837,-87.589559
14A289,LITTLE SISTERS OF THE POOR,CHICAGO,IL,60614,Cook,Non profit - Corporation,76,71,Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,40.667,0,1,0,$0.00,0,0,"2325 NORTH LAKEWOOD AVENUE
CHICAGO, IL 60614
(41.924327, -87.660859)",09/01/2016,41.924327,4.7657,-87.660859
145024,PINECREST MANOR,MOUNT MORRIS,IL,61054,Ogle,Non profit - Church related,125,109,Medicare and Medicaid,False,False,Yes,5.0,5.0,5.0,5.0,12.667,0,0,0,$0.00,0,0,"414 SOUTH WESLEY AVENUE
MOUNT MORRIS, IL 61054
(42.044136, -89.433346)",09/01/2016,42.044136,4.50308,-89.433346
145674,LEROY MANOR,LE ROY,IL,61752,Mc Lean,Non profit - Corporation,102,63,Medicare and Medicaid,False,False,Yes,1.0,1.0,1.0,1.0,152.833,1,10,1,$1755.00,0,1,"509 SOUTH BUCK ROAD
LE ROY, IL 61752
(40.34159, -88.766696)",09/01/2016,40.34159,3.54346,-88.766696
145546,HERITAGE HEALTH-MOUNT ZION,MOUNT ZION,IL,62549,Macon,For profit - Corporation,75,69,Medicare and Medicaid,False,False,Yes,3.0,3.0,3.0,3.0,44.0,0,2,1,$7053.00,0,1,"1225 WOODLAND DRIVE
MOUNT ZION, IL 62549
(39.784182, -88.874813)",09/01/2016,39.784182,3.33768,-88.874813
145372,SYMPHONY OF JOLIET,JOLIET,IL,60435,Will,For profit - Corporation,214,171,Medicare and Medicaid,False,False,Yes,4.0,3.0,2.0,4.0,46.0,0,7,0,$0.00,0,0,"306 NORTH LARKIN AVENUE
JOLIET, IL 60435
(41.527859, -88.124813)",09/01/2016,41.527859,2.76712,-88.124813
14E812,MOUNT VERNON HEALTH CARE CENTER,MOUNT VERNON,IL,62864,Jefferson,For profit - Corporation,106,88,Medicaid,False,False,Yes,3.0,3.0,2.0,3.0,41.333,0,1,0,$0.00,0,0,"5 DOCTORS PARK
MOUNT VERNON, IL 62864
(38.311998, -88.935446)",09/01/2016,38.311998,3.05284,-88.935446
145580,RICHLAND MEMORIAL HSP SK N FAC,OLNEY,IL,62450,Richland,Non profit - Other,14,5,Medicare,True,False,Yes,5.0,5.0,,,11.333,0,0,0,$0.00,0,0,"800 EAST LOCUST
OLNEY, IL 62450
(38.735021, -88.077125)",09/01/2016,38.735021,,-88.077125
145442,TOULON REHAB & HEALTH CARE CENTER,TOULON,IL,61483,Stark,For profit - Corporation,136,83,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,3.0,145.167,5,5,0,$0.00,0,0,"209 TOULON
IL 61483
(41.095077, -89.871609)",09/01/2016,41.095077,3.28515,-89.871609
145621,PAVILION OF WAUKEGAN,WAUKEGAN,IL,60085,Lake,For profit - Partnership,112,90,Medicare and Medicaid,False,False,Yes,3.0,3.0,2.0,3.0,38.667,1,0,0,$0.00,0,0,"2217 WASHINGTON STREET
WAUKEGAN, IL 60085
(42.359521, -87.861008)",09/01/2016,42.359521,3.05951,-87.861008
145872,ALDEN LONG GROVE REHAB &HC CTR,LONG GROVE,IL,60047,Lake,For profit - Corporation,246,160,Medicare and Medicaid,False,False,Yes,3.0,2.0,2.0,4.0,56.333,2,5,2,$42966.00,0,2,"2308 OLD HICKS ROAD
LONG GROVE, IL 60047
(42.167594, -88.018964)",09/01/2016,42.167594,2.56987,-88.018964
145590,ST JOSEPH'S MEDICAL CENTER,BLOOMINGTON,IL,61701,Mc Lean,Non profit - Church related,12,5,Medicare and Medicaid,True,False,Yes,4.0,5.0,,,12.667,0,0,0,$0.00,0,0,"2200 EAST WASHINGTON STREET
BLOOMINGTON, IL 61701
(40.480118, -88.955385)",09/01/2016,40.480118,,-88.955385
146095,EVENGLOW LODGE,PONTIAC,IL,61764,Livingston,Non profit - Church related,73,54,Medicare and Medicaid,False,False,Yes,4.0,2.0,5.0,5.0,58.0,0,2,1,$11993.00,0,1,"215 EAST WASHINGTON
PONTIAC, IL 61764
(40.879514, -88.626497)",09/01/2016,40.879514,5.27058,-88.626497
155154,SPRING MILL MEADOWS,INDIANAPOLIS,IN,46260,Marion,Government - Hospital district,130,104,Medicare and Medicaid,False,False,Yes,2.0,1.0,5.0,5.0,107.333,0,48,0,$0.00,0,0,"2140 W 86TH ST
INDIANAPOLIS, IN 46260
(39.912073, -86.198277)",09/01/2016,39.912073,4.45263,-86.198277
145465,JERSEYVILLE NSG & REHAB CENTER,JERSEYVILLE,IL,62052,Jersey,For profit - Corporation,111,97,Medicare and Medicaid,False,False,Yes,2.0,3.0,2.0,2.0,37.667,1,0,1,$39065.00,0,1,"1001 SOUTH STATE STREET
JERSEYVILLE, IL 62052
(39.108658, -90.318343)",09/01/2016,39.108658,3.64088,-90.318343
145945,IMBODEN CREEK LIVING CENTER,DECATUR,IL,62521,Macon,For profit - Corporation,95,79,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,3.0,52.667,0,6,2,$4420.00,0,2,"180 WEST IMBODEN
DECATUR, IL 62521
(39.814967, -88.955405)",09/01/2016,39.814967,4.48024,-88.955405
145928,APERION CARE JACKSONVILLE,JACKSONVILLE,IL,62650,Morgan,For profit - Corporation,113,74,Medicare and Medicaid,False,False,Yes,1.0,2.0,1.0,1.0,74.667,0,27,0,$0.00,1,1,"1021 NORTH CHURCH STREET
JACKSONVILLE, IL 62650
(39.747165, -90.233924)",09/01/2016,39.747165,2.11743,-90.233924
145456,HERITAGE HEALTH-CARLINVILLE,CARLINVILLE,IL,62626,Macoupin,For profit - Corporation,95,88,Medicare and Medicaid,False,False,Yes,1.0,2.0,1.0,1.0,53.667,2,0,0,$0.00,0,0,"1200 UNIVERSITY AVENUE
CARLINVILLE, IL 62626
(39.294017, -89.873888)",09/01/2016,39.294017,2.2834,-89.873888
146176,GLEN SAINT ANDREW LIVING COMM,NILES,IL,60714,Cook,For profit - Individual,55,55,Medicare and Medicaid,False,False,Yes,4.0,3.0,2.0,4.0,37.6,0,0,0,$0.00,0,0,"7000 NORTH NEWARK
NILES, IL 60714
(42.010046, -87.80123)",09/01/2016,42.010046,2.75644,-87.80123
155006,MILLER'S MERRY MANOR,WABASH,IN,46992,Wabash,For profit - Corporation,84,64,Medicare and Medicaid,False,False,Yes,5.0,4.0,4.0,4.0,27.333,0,1,0,$0.00,0,0,"1900 N ALBER ST
WABASH, IN 46992
(40.820219, -85.829926)",09/01/2016,40.820219,3.81132,-85.829926
145875,"GROVE AT LINCOLN PARK, THE",CHICAGO,IL,60614,Cook,For profit - Partnership,109,78,Medicare and Medicaid,False,False,Yes,4.0,4.0,3.0,4.0,18.0,0,5,0,$0.00,0,0,"2732 NORTH HAMPDEN COURT
CHICAGO, IL 60614
(41.932016, -87.642276)",09/01/2016,41.932016,3.29809,-87.642276
155053,MILLERS MERRY MANOR,RUSHVILLE,IN,46173,Rush,For profit - Corporation,98,61,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,5.0,48.0,0,20,0,$0.00,1,1,"612 E 11TH ST
RUSHVILLE, IN 46173
(39.618764, -85.435514)",09/01/2016,39.618764,3.02558,-85.435514
145794,FAIRVIEW HAVEN,FAIRBURY,IL,61739,Livingston,Non profit - Church related,63,60,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,32.0,3,0,0,$0.00,0,0,"605 NORTH 4TH STREET
FAIRBURY, IL 61739
(40.752927, -88.511738)",09/01/2016,40.752927,5.46105,-88.511738
145338,MANORCARE OF WESTMONT,WESTMONT,IL,60559,Du Page,For profit - Corporation,149,98,Medicare and Medicaid,False,False,Yes,4.0,2.0,4.0,5.0,51.833,0,0,1,$57883.00,0,1,"512 EAST OGDEN AVENUE
WESTMONT, IL 60559
(41.810385, -87.960539)",09/01/2016,41.810385,3.6855,-87.960539
