Federal Provider Number,Provider Name,Provider City,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Automatic Sprinkler Systems in All Required Areas,Location,Processing Date,Latitude,Longitude,Adjusted Total Nurse Staffing Hours per Resident per Day,performance_id
055968,ST. FRANCIS HEIGHTS CONVALESCENT HOSPITAL,DALY CITY,94015,San Mateo,For profit - Corporation,102,86,Medicare and Medicaid,False,Yes,"35 ESCUELA DRIVE
DALY CITY, CA 94015
(37.674439, -122.477225)",09/01/2016,37.674439,-122.477225,3.51171,690
015404,GOLDEN LIVING CENTER - HUEYTOWN,HUEYTOWN,35023,Jefferson,For profit - Corporation,50,36,Medicare and Medicaid,False,Yes,"190 BROOKLANE DRIVE
HUEYTOWN, AL 35023
(33.446754, -86.979029)",09/01/2016,33.446754,-86.979029,3.8458,691
055135,MONTROSE HEALTHCARE CENTER,MONTROSE,91020,Los Angeles,For profit - Individual,59,56,Medicare and Medicaid,False,Yes,"2123 VERDUGO BLVD
MONTROSE, CA 91020
(34.204973, -118.224264)",09/01/2016,34.204973,-118.224264,3.57311,692
035197,HAVEN OF YUMA,YUMA,85364,Yuma,For profit - Corporation,128,87,Medicare and Medicaid,False,Yes,"2470 SOUTH ARIZONA AVENUE
YUMA, AZ 85364
(32.683162, -114.615988)",09/01/2016,32.683162,-114.615988,4.10442,693
055622,LA HABRA CONVALESCENT HOSPITAL,LA HABRA,90631,Orange,For profit - Corporation,86,70,Medicare and Medicaid,False,Yes,"1233 WEST LA HABRA BOULEVARD
LA HABRA, CA 90631
(33.931902, -117.959716)",09/01/2016,33.931902,-117.959716,3.71038,694
045422,THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,MAUMELLE,72113,Pulaski,For profit - Corporation,70,64,Medicare and Medicaid,False,Yes,"103 ALEXANDRIA DRIVE
MAUMELLE, AR 72113
(34.875867, -92.394522)",09/01/2016,34.875867,-92.394522,4.69196,695
055318,SKYLINE HEALTHCARE CENTER - SAN JOSE,SAN JOSE,95128,Santa Clara,For profit - Corporation,253,246,Medicare and Medicaid,False,Yes,"2065 FOREST AVENUE
SAN JOSE, CA 95128
(37.327084, -121.935243)",09/01/2016,37.327084,-121.935243,4.07496,696
055181,SAN GABRIEL CONV CENTER,ROSEMEAD,91770,Los Angeles,For profit - Corporation,151,151,Medicare and Medicaid,False,Yes,"8035 E HILL DRIVE
ROSEMEAD, CA 91770
(34.045525, -118.092833)",09/01/2016,34.045525,-118.092833,3.35354,697
056214,RAMONA REHABILITATION AND POST ACUTE CARE CENTER,HEMET,92543,Riverside,For profit - Corporation,104,84,Medicare and Medicaid,False,Yes,"485 W JOHNSTON AVENUE
HEMET, CA 92543
(33.733022, -116.975306)",09/01/2016,33.733022,-116.975306,4.9877,698
056176,KINDRED NURSING AND REHABILITATION-GOLDEN GATE,SAN FRANCISCO,94115,San Francisco,For profit - Corporation,120,117,Medicare and Medicaid,False,Yes,"2707 PINE STREET
SAN FRANCISCO, CA 94115
(37.787071, -122.440559)",09/01/2016,37.787071,-122.440559,3.60264,699
055196,MARYCREST MANOR,CULVER CITY,90230,Los Angeles,Non profit - Corporation,57,51,Medicare and Medicaid,False,Yes,"10664 ST JAMES DRIVE
CULVER CITY, CA 90230
(33.999173, -118.383863)",09/01/2016,33.999173,-118.383863,8.11087,700
035086,KINDRED NURSING AND REHABILITATION-HACIENDA,SIERRA VISTA,85635,Cochise,For profit - Corporation,100,64,Medicare and Medicaid,False,Yes,"660 SOUTH CORONADO DRIVE
SIERRA VISTA, AZ 85635
(31.547885, -110.278574)",09/01/2016,31.547885,-110.278574,3.51498,701
055963,KINDRED NURSING AND REHABILITATION-NINETEENTH AVE,SAN FRANCISCO,94116,San Francisco,For profit - Corporation,140,138,Medicare and Medicaid,False,Yes,"2043 19TH AVENUE
SAN FRANCISCO, CA 94116
(37.749654, -122.476167)",09/01/2016,37.749654,-122.476167,3.67702,702
045207,OUACHITA NURSING AND REHABILITATION CENTER,CAMDEN,71701,Ouachita,For profit - Corporation,142,82,Medicare and Medicaid,False,Yes,"1411 COUNTRY CLUB ROAD
CAMDEN, AR 71701
(33.575427, -92.856221)",09/01/2016,33.575427,-92.856221,4.35976,703
055142,MAGNOLIA GARDENS,GRANADA HILLS,91344,Los Angeles,For profit - Corporation,99,95,Medicare and Medicaid,False,Yes,"17922 SAN FERNANDO MISSION RD
GRANADA HILLS, CA 91344
(34.272159, -118.525032)",09/01/2016,34.272159,-118.525032,,704
055288,AUTUMN HILLS HEALTH CARE CENTER,GLENDALE,91206,Los Angeles,For profit - Corporation,99,99,Medicare and Medicaid,False,Yes,"430 N GLENDALE AVE
GLENDALE, CA 91206
(34.153165, -118.243894)",09/01/2016,34.153165,-118.243894,4.10965,705
035064,FOOTHILLS REHABILITATION CENTER,TUCSON,85712,Pima,For profit - Individual,149,140,Medicare and Medicaid,False,Yes,"2250 NORTH CRAYCROFT ROAD
TUCSON, AZ 85712
(32.249121, -110.875285)",09/01/2016,32.249121,-110.875285,5.00673,706
045407,THE MAPLES AT HAR-BER MEADOWS,SPRINGDALE,72762,Washington,For profit - Corporation,140,129,Medicare and Medicaid,False,Yes,"6456 LYNCH'S PRAIRIE COVE
SPRINGDALE, AR 72762
(36.177649, -94.203058)",09/01/2016,36.177649,-94.203058,4.02346,707
055488,LA MESA HEALTHCARE CENTER,LA MESA,91941,San Diego,For profit - Corporation,94,83,Medicare and Medicaid,False,Yes,"3780 MASSACHUSETTS AVENUE
LA MESA, CA 91941
(32.74577, -117.042883)",09/01/2016,32.74577,-117.042883,3.87619,708
056157,EMERALD TERRACE CONV HOSPITAL,LOS ANGELES,90006,Los Angeles,For profit - Corporation,72,54,Medicare and Medicaid,False,Yes,"1154 S ALVARADO ST
LOS ANGELES, CA 90006
(34.049023, -118.281565)",09/01/2016,34.049023,-118.281565,3.9785,709
035174,PARK AVENUE HEALTH AND REHABILITATION CENTER,TUCSON,85719,Pima,For profit - Corporation,200,119,Medicare and Medicaid,False,Yes,"2001 NORTH PARK AVENUE
TUCSON, AZ 85719
(32.246033, -110.95683)",09/01/2016,32.246033,-110.95683,4.33645,710
055995,WINDSOR CONVALESCENT CENTER OF NORTH LONG BEACH,LONG BEACH,90805,Los Angeles,For profit - Corporation,120,120,Medicare and Medicaid,False,Yes,"260 E MARKET ST
LONG BEACH, CA 90805
(33.854321, -118.190707)",09/01/2016,33.854321,-118.190707,3.90516,711
055826,COUNTRY OAKS CARE CENTER,SANTA MARIA,93454,Santa Barbara,For profit - Corporation,59,51,Medicare and Medicaid,False,Yes,"830 E CHAPEL ST
SANTA MARIA, CA 93454
(34.954251, -120.423329)",09/01/2016,34.954251,-120.423329,4.33218,712
055866,PLUM TREE CARE CENTER,SAN JOSE,95124,Santa Clara,For profit - Corporation,76,52,Medicare and Medicaid,False,Yes,"2580 SAMARITAN DRIVE
SAN JOSE, CA 95124
(37.253093, -121.951079)",09/01/2016,37.253093,-121.951079,3.98494,713
056200,OJAI VALLEY COMMUNITY HOSPITAL D/P SNF,OJAI,93023,Ventura,Non profit - Corporation,66,52,Medicare and Medicaid,True,Yes,"1306 MARICOPA HWY
OJAI, CA 93023
(34.442251, -119.264518)",09/01/2016,34.442251,-119.264518,,714
055870,SUNRAY HEALTHCARE CENTER,LOS ANGELES,90019,Los Angeles,For profit - Partnership,99,86,Medicare and Medicaid,False,Yes,"3210 W PICO BLVD
LOS ANGELES, CA 90019
(34.04718, -118.312163)",09/01/2016,34.04718,-118.312163,4.5775,715
045214,HUDSON MEMORIAL NURSING HOME,EL DORADO,71730,Union,Government - County,108,87,Medicare and Medicaid,False,Yes,"700 N COLLEGE AVENUE
EL DORADO, AR 71730
(33.218418, -92.674103)",09/01/2016,33.218418,-92.674103,5.67316,284
056008,GUARDIAN REHABILITATION HOSPITAL,LOS ANGELES,90036,Los Angeles,For profit - Corporation,93,84,Medicare and Medicaid,False,Yes,"533 S FAIRFAX AVE
LOS ANGELES, CA 90036
(34.0663, -118.361388)",09/01/2016,34.0663,-118.361388,4.99044,716
05E119,TUSTIN CARE CENTER,TUSTIN,92780,Orange,For profit - Corporation,99,97,Medicaid,False,Yes,"1051 BRYAN AVENUE
TUSTIN, CA 92780
(33.743045, -117.815473)",09/01/2016,33.743045,-117.815473,2.58911,717
035112,APACHE JUNCTION HLTH CENTER,APACHE JUNCTION,85120,Pinal,For profit - Corporation,190,84,Medicare and Medicaid,False,Yes,"2012 WEST SOUTHERN AVE
APACHE JUNCTION, AZ 85120
(33.393328, -111.566011)",09/01/2016,33.393328,-111.566011,4.79642,718
055047,GOLDEN LIVINGCENTER - CHOWCHILLA,CHOWCHILLA,93610,Madera,For profit - Corporation,65,53,Medicare and Medicaid,False,Yes,"1010 VENTURA AVENUE
CHOWCHILLA, CA 93610
(37.122, -120.271915)",09/01/2016,37.122,-120.271915,4.13217,719
055918,BEL TOOREN VILLA CONVALESCENT,BELLFLOWER,90706,Los Angeles,For profit - Corporation,99,92,Medicare and Medicaid,False,Yes,"16910 WOODRUFF AVE
BELLFLOWER, CA 90706
(33.880917, -118.11731)",09/01/2016,33.880917,-118.11731,3.21484,720
055922,COURTYARD HEALTH CARE CENTER,DAVIS,95616,Yolo,For profit - Corporation,112,107,Medicare and Medicaid,False,Yes,"1850 EAST 8TH STREET
DAVIS, CA 95616
(38.55333, -121.728386)",09/01/2016,38.55333,-121.728386,3.73947,721
056229,PALM SPRINGS HEALTHCARE & REHABILITATION CENTER,PALM SPRINGS,92262,Riverside,For profit - Corporation,99,89,Medicare and Medicaid,False,Yes,"277 S SUNRISE WAY
PALM SPRINGS, CA 92262
(33.820023, -116.528227)",09/01/2016,33.820023,-116.528227,3.36813,722
056333,MOUNTAIN VIEW CONV HOSP,SYLMAR,91342,Los Angeles,For profit - Individual,114,108,Medicare and Medicaid,False,Yes,"13333 FENTON AVENUE
SYLMAR, CA 91342
(34.313415, -118.425208)",09/01/2016,34.313415,-118.425208,3.78921,723
056107,COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO,SAN BERNARDINO,92411,San Bernardino,Non profit - Corporation,84,31,Medicare and Medicaid,False,Yes,"1676 MEDICAL CTR DR
SAN BERNARDINO, CA 92411
(34.130267, -117.322562)",09/01/2016,34.130267,-117.322562,5.93544,724
056166,PARAMOUNT MEADOWS NURSING CTR.,PARAMOUNT,90723,Los Angeles,For profit - Partnership,104,104,Medicare and Medicaid,False,Yes,"7039 ALONDRA BLVD
PARAMOUNT, CA 90723
(33.889175, -118.175895)",09/01/2016,33.889175,-118.175895,4.64644,725
055011,ACACIA PARK NURSING & REHAB CENTER,MODESTO,95355,Stanislaus,For profit - Corporation,99,78,Medicare and Medicaid,False,Yes,"1611 SCENIC DRIVE
MODESTO, CA 95355
(37.650748, -120.969246)",09/01/2016,37.650748,-120.969246,4.21921,726
055954,WINDSOR GARDENS CONV CENTER OF SAN DIEGO,NATIONAL CITY,91950,San Diego,For profit - Corporation,98,83,Medicare and Medicaid,False,Yes,"220 EAST 24TH STREET
NATIONAL CITY, CA 91950
(32.662775, -117.098823)",09/01/2016,32.662775,-117.098823,3.65253,727
045439,GOSNELL THERAPY AND LIVING,GOSNELL,72315,Mississippi,For profit - Corporation,70,55,Medicare and Medicaid,False,Yes,"700 MOODY STREET
GOSNELL, AR 72315
(35.963568, -89.974039)",09/01/2016,35.963568,-89.974039,4.29338,728
056072,PETALUMA POST-ACUTE REHABILITATION,PETALUMA,94952,Sonoma,For profit - Corporation,90,82,Medicare and Medicaid,False,Yes,"1115 B STREET
PETALUMA, CA 94952
(38.222263, -122.645798)",09/01/2016,38.222263,-122.645798,3.80919,729
055191,AVALON HEALTH CARE-MADERA,MADERA,93637,Madera,For profit - Corporation,64,54,Medicare and Medicaid,False,Yes,"1700 HOWARD ROAD
MADERA, CA 93637
(36.952727, -120.077746)",09/01/2016,36.952727,-120.077746,3.26952,730
045277,ARKANSAS CONVALESCENT CENTER,PINE BLUFF,71603,Jefferson,For profit - Corporation,103,88,Medicare and Medicaid,False,Yes,"6301 SOUTH HAZEL
PINE BLUFF, AR 71603
(34.163006, -92.024056)",09/01/2016,34.163006,-92.024056,4.25221,731
035249,THE GARDENS REHAB & CARE CENTER,KINGMAN,86401,Mohave,For profit - Partnership,128,82,Medicare and Medicaid,False,Yes,"3131 WESTERN AVENUE
KINGMAN, AZ 86401
(35.214475, -114.040067)",09/01/2016,35.214475,-114.040067,4.07532,732
055157,VIRGIL REHABILITATION & SKILLED NURSING CENTER,LOS ANGELES,90029,Los Angeles,For profit - Corporation,124,114,Medicare and Medicaid,False,Yes,"975 NORTH VIRGIL AVENUE
LOS ANGELES, CA 90029
(34.08944, -118.286896)",09/01/2016,34.08944,-118.286896,3.62743,733
045315,LAKESIDE NURSING CENTER,LAKE CITY,72437,Craighead,For profit - Corporation,75,57,Medicare and Medicaid,False,Yes,"1207 WILLOW RUN ROAD
LAKE CITY, AR 72437
(35.818597, -90.442914)",09/01/2016,35.818597,-90.442914,5.11663,734
045370,ALMA HEALTHCARE AND REHABILITATION CENTER,ALMA,72921,Crawford,For profit - Corporation,80,71,Medicare and Medicaid,False,Yes,"401 HEATHER LANE
ALMA, AR 72921
(35.489639, -94.229807)",09/01/2016,35.489639,-94.229807,3.8905,735
056151,"GREENFIELD CARE CENTER OF FULLERTON, LLC",FULLERTON,92835,Orange,For profit - Partnership,99,85,Medicare and Medicaid,False,Yes,"330 W BASTANCHURY ROAD
FULLERTON, CA 92835
(33.893595, -117.932589)",09/01/2016,33.893595,-117.932589,4.52113,736
056133,WEST HILLS HEALTH & REHAB CENTER,CANOGA PARK,91304,Los Angeles,For profit - Corporation,145,127,Medicare and Medicaid,False,Yes,"7940 TOPANGA CANYON BLVD
CANOGA PARK, CA 91304
(34.214975, -118.605975)",09/01/2016,34.214975,-118.605975,4.44991,737
055367,MONROVIA GARDENS HEALTHCARE CENTER,MONROVIA,91016,Los Angeles,For profit - Corporation,95,76,Medicare and Medicaid,False,Yes,"615 W DUARTE RD
MONROVIA, CA 91016
(34.132153, -118.012049)",09/01/2016,34.132153,-118.012049,4.24347,738
045235,GARLAND NURSING  AND REHABILITATION CENTER,HOT SPRINGS,71901,Garland,For profit - Corporation,105,66,Medicare and Medicaid,False,Yes,"610 CARPENTER DAM RD
HOT SPRINGS, AR 71901
(34.463031, -93.024324)",09/01/2016,34.463031,-93.024324,3.08555,739
055656,RIVERSIDE CONVALESCENT HOSPITAL,CHICO,95926,Butte,For profit - Corporation,99,68,Medicare and Medicaid,False,Yes,"375 COHASSET RD
CHICO, CA 95926
(39.751485, -121.849101)",09/01/2016,39.751485,-121.849101,4.70721,740
035214,GOOD SAMARITAN SOCIETY-QUIBURI MISSION,BENSON,85602,Cochise,For profit - Corporation,60,51,Medicare and Medicaid,False,Yes,"850 SOUTH HIGHWAY
BENSON, AZ 85602
(31.955065, -110.342819)",09/01/2016,31.955065,-110.342819,3.8049,741
045334,LINDLEY HEALTHCARE  AND REHABILITATION  CENTER,NEWPORT,72112,Jackson,For profit - Corporation,120,110,Medicare and Medicaid,False,Yes,"326 LINDLEY LANE
NEWPORT, AR 72112
(35.634201, -91.261075)",09/01/2016,35.634201,-91.261075,4.52559,742
055919,APPLE VALLEY POST-ACUTE REHAB,SEBASTOPOL,95472,Sonoma,For profit - Corporation,95,86,Medicare and Medicaid,False,Yes,"1035 GRAVENSTEIN HWY SOUTH
SEBASTOPOL, CA 95472
(38.389136, -122.815192)",09/01/2016,38.389136,-122.815192,5.24205,743
045228,"SPRING BROOK HEALTH & REHAB CENTER, LLC",HAZEN,72064,Prairie,For profit - Corporation,70,49,Medicare and Medicaid,False,Yes,"200 S MAPLE STREET
HAZEN, AR 72064
(34.549242, -91.967789)",09/01/2016,34.549242,-91.967789,6.63227,744
035101,CHANDLER POST ACUTE AND REHABILITATION,CHANDLER,85224,Maricopa,For profit - Corporation,120,110,Medicare and Medicaid,False,Yes,"2121 WEST ELGIN STREET
CHANDLER, AZ 85224
(33.297194, -111.877939)",09/01/2016,33.297194,-111.877939,2.82441,745
055330,ADVANCED REHAB CENTER OF TUSTIN,SANTA ANA,92705,Orange,For profit - Corporation,99,92,Medicare and Medicaid,False,Yes,"2210 E FIRST STREET
SANTA ANA, CA 92705
(33.745583, -117.83532)",09/01/2016,33.745583,-117.83532,3.84853,746
055677,PITTSBURG SKILLED NURSING CENTER,PITTSBURG,94565,Contra Costa,For profit - Individual,49,45,Medicare and Medicaid,False,Yes,"535 SCHOOL STREET
PITTSBURG, CA 94565
(38.019857, -121.87955)",09/01/2016,38.019857,-121.87955,3.68194,747
055077,COUNTRY VILLA BELMONT HEIGHTS,LONG BEACH,90804,Los Angeles,For profit - Individual,104,102,Medicare and Medicaid,False,Yes,"1730 GRAND AVE
LONG BEACH, CA 90804
(33.788308, -118.148059)",09/01/2016,33.788308,-118.148059,4.03068,748
056096,PIEDMONT GARDENS HEALTH FACILITY,OAKLAND,94611,Alameda,Non profit - Corporation,94,63,Medicare and Medicaid,False,Yes,"110 41ST STREET
OAKLAND, CA 94611
(37.826105, -122.251317)",09/01/2016,37.826105,-122.251317,4.57077,749
055237,VICTORIA HEALTHCARE AND REHABILITATION CENTER,COSTA MESA,92627,Orange,For profit - Corporation,79,72,Medicare and Medicaid,False,Yes,"340 VICTORIA STREET
COSTA MESA, CA 92627
(33.652582, -117.913812)",09/01/2016,33.652582,-117.913812,4.13197,750
055361,VISTA PACIFICA CONVALESCENT HOSPITAL,RIVERSIDE,92509,Riverside,For profit - Corporation,49,49,Medicare and Medicaid,False,Yes,"3662 PACIFIC AVENUE
RIVERSIDE, CA 92509
(34.005893, -117.420375)",09/01/2016,34.005893,-117.420375,4.30577,751
045403,"GLENWOOD HEALTH AND REHABILITATION, LLC",GLENWOOD,71943,Pike,For profit - Corporation,80,50,Medicare and Medicaid,False,Yes,"615 MOUNTAIN VIEW ROAD
GLENWOOD, AR 71943
(34.331822, -93.540608)",09/01/2016,34.331822,-93.540608,5.12395,752
055697,BUENA VENTURA  POST ACUTE CARE CENTER,LOS ANGELES,90023,Los Angeles,For profit - Corporation,99,91,Medicare and Medicaid,False,Yes,"1016 S RECORD ST
LOS ANGELES, CA 90023
(34.021625, -118.182631)",09/01/2016,34.021625,-118.182631,,753
055539,ARTESIA CHRISTIAN HOME INC.,ARTESIA,90701,Los Angeles,Non profit - Other,66,64,Medicare and Medicaid,False,Yes,"11614 E 183RD ST
ARTESIA, CA 90701
(33.865713, -118.085959)",09/01/2016,33.865713,-118.085959,4.60208,754
025021,HERITAGE PLACE,SOLDOTNA,99669,Kenai Peninsula,For profit - Corporation,60,48,Medicare and Medicaid,True,Yes,"232 ROCKWELL AVENUE
SOLDOTNA, AK 99669
(60.493166, -151.082422)",09/01/2016,60.493166,-151.082422,7.74872,755
015371,HERITAGE HEALTH CARE & REHAB INC,TUSCALOOSA,35406,Tuscaloosa,For profit - Corporation,216,174,Medicare and Medicaid,False,Yes,"1101 SNOWS MILL AVENUE
TUSCALOOSA, AL 35406
(33.228213, -87.56034)",09/01/2016,33.228213,-87.56034,5.34043,453
045352,EAGLECREST NURSING AND REHAB,ASH FLAT,72513,Sharp,For profit - Corporation,100,65,Medicare and Medicaid,False,Yes,"916 HIGHWAY
ASH FLAT, AR 72513
(36.235143, -91.600903)",09/01/2016,36.235143,-91.600903,3.81435,756
035093,"HAVEN OF COTTONWOOD, LLC",COTTONWOOD,86326,Yavapai,For profit - Corporation,70,54,Medicare and Medicaid,False,Yes,"197 SOUTH WILLARD STREET
COTTONWOOD, AZ 86326
(34.737926, -112.027345)",09/01/2016,34.737926,-112.027345,4.17976,757
045321,"LEXINGTON PLACE HEALTHCARE AND REHABILITATION, LLC",JONESBORO,72401,Craighead,For profit - Corporation,152,97,Medicare and Medicaid,False,Yes,"2911 BROWNS LANE
JONESBORO, AR 72401
(35.811279, -90.687047)",09/01/2016,35.811279,-90.687047,5.06223,758
045337,HEATHER MANOR NURSING AND REHABILITATION CENTER,HOPE,71801,Hempstead,For profit - Corporation,128,96,Medicare and Medicaid,False,Yes,"400 WEST 23RD STREET
HOPE, AR 71801
(33.646469, -93.594182)",09/01/2016,33.646469,-93.594182,4.60832,759
055671,PARKVIEW HEALTHCARE CENTER,ANAHEIM,92805,Orange,For profit - Corporation,41,33,Medicare and Medicaid,False,Yes,"1514 E LINCOLN AVENUE
ANAHEIM, CA 92805
(33.839422, -117.896822)",09/01/2016,33.839422,-117.896822,4.15078,760
045246,PERRY COUNTY NURSING AND REHABILITATION CENTER,PERRYVILLE,72126,Perry,For profit - Corporation,95,66,Medicare and Medicaid,False,Yes,"1321 SCENIC DRIVE
PERRYVILLE, AR 72126
(35.00718, -92.813818)",09/01/2016,35.00718,-92.813818,4.80564,761
045236,DES ARC NURSING AND REHABILITATION CENTER,DES ARC,72040,Prairie,For profit - Corporation,98,59,Medicare and Medicaid,False,Yes,"2216 WEST MAIN STREET
DES ARC, AR 72040
(34.977427, -91.522524)",09/01/2016,34.977427,-91.522524,4.3467,762
055500,VALLE VISTA CONVALESCENT HOSPITAL,ESCONDIDO,92025,San Diego,For profit - Corporation,59,51,Medicare and Medicaid,False,Yes,"1025 W SECOND AVENUE
ESCONDIDO, CA 92025
(33.113231, -117.093591)",09/01/2016,33.113231,-117.093591,6.16135,763
056281,GOLDEN LIVINGCENTER COUNTRY VIEW ALZHEIMERS CARE,FRESNO,93706,Fresno,For profit - Corporation,59,58,Medicare and Medicaid,False,Yes,"925 NORTH CORNELIA
FRESNO, CA 93706
(36.749057, -119.88027)",09/01/2016,36.749057,-119.88027,4.19812,764
035114,MOUNTAIN VIEW MANOR,PRESCOTT,86305,Yavapai,For profit - Corporation,116,65,Medicare and Medicaid,False,Yes,"1045 SANDRETTO DRIVE
PRESCOTT, AZ 86305
(34.602694, -112.459132)",09/01/2016,34.602694,-112.459132,3.1247,765
055417,SAYLOR LANE HEALTHCARE CENTER,SACRAMENTO,95816,Sacramento,For profit - Corporation,42,33,Medicare and Medicaid,False,Yes,"3500 FOLSOM BOULEVARD
SACRAMENTO, CA 95816
(38.566479, -121.462471)",09/01/2016,38.566479,-121.462471,4.99498,766
015436,HILLVIEW TERRACE,MONTGOMERY,36109,Montgomery,For profit - Corporation,143,128,Medicare and Medicaid,False,Yes,"100 PERRY HILL RD
MONTGOMERY, AL 36109
(32.381024, -86.246598)",09/01/2016,32.381024,-86.246598,5.1692,767
015458,"MILLENNIUM NURSING & REHAB CENTER, INC",HUNTSVILLE,35806,Madison,For profit - Corporation,91,70,Medicare and Medicaid,False,Yes,"5275 MILLENNIUM DRIVE
HUNTSVILLE, AL 35806
(34.7536, -86.664823)",09/01/2016,34.7536,-86.664823,4.69084,768
045197,HARRISON REHABILITATION AND HEALTH CENTER,HARRISON,72601,Boone,For profit - Corporation,90,69,Medicare and Medicaid,False,Yes,"115 ORENDORFF AVENUE
HARRISON, AR 72601
(36.248881, -93.121215)",09/01/2016,36.248881,-93.121215,4.73343,29
04A158,CRAIGHEAD NURSING CENTER,JONESBORO,72404,Craighead,Government - County,121,112,Medicaid,False,Yes,"5101 HARRISBURG RD
JONESBORO, AR 72404
(35.77938, -90.685635)",09/01/2016,35.77938,-90.685635,4.86215,769
045323,"ST MICHAEL'S PLACE, INC",NEWPORT,72112,Jackson,For profit - Corporation,130,56,Medicare and Medicaid,False,Yes,"1311 NORTH PECAN ST
NEWPORT, AR 72112
(35.617883, -91.264446)",09/01/2016,35.617883,-91.264446,4.65241,770
045177,"CRESTPARK DEWITT, LLC",DE WITT,72042,Arkansas,For profit - Corporation,96,47,Medicare and Medicaid,False,Yes,"1325 LIBERTY DRIVE
DE WITT, AR 72042
(34.274759, -91.349772)",09/01/2016,34.274759,-91.349772,5.68291,771
055328,UNIVERSITY CARE CENTER,SAN DIEGO,92105,San Diego,For profit - Limited Liability company,87,86,Medicare and Medicaid,False,Yes,"5602 UNIVERSITY AVE
SAN DIEGO, CA 92105
(32.74806, -117.074358)",09/01/2016,32.74806,-117.074358,3.47227,772
045393,ENCORE HEALTHCARE AND REHABILITATION,MALVERN,72104,Hot Spring,Non profit - Corporation,95,94,Medicare and Medicaid,False,Yes,"1820 WEST MOLINE STREET
MALVERN, AR 72104
(34.376522, -92.833491)",09/01/2016,34.376522,-92.833491,3.38025,773
055887,RIVER BEND NURSING CENTER,WEST SACRAMENTO,95691,Yolo,For profit - Corporation,99,88,Medicare and Medicaid,False,Yes,"2215 OAKMONT WAY
WEST SACRAMENTO, CA 95691
(38.575594, -121.539739)",09/01/2016,38.575594,-121.539739,4.68781,774
045165,LINCOLN HEIGHTS HEALTHCARE,STAR CITY,71667,Lincoln,For profit - Corporation,87,64,Medicare and Medicaid,False,Yes,"505 EAST VICTORY
STAR CITY, AR 71667
(33.937397, -91.837665)",09/01/2016,33.937397,-91.837665,3.91034,775
055303,CANTERBURY WOODS,PACIFIC GROVE,93950,Monterey,Non profit - Corporation,24,16,Medicare,False,Yes,"651 SINEX AVENUE
PACIFIC GROVE, CA 93950
(36.615375, -121.921506)",09/01/2016,36.615375,-121.921506,7.32046,776
055573,KINGSBURG CENTER,KINGSBURG,93631,Fresno,For profit - Corporation,86,78,Medicare and Medicaid,False,Yes,"1101 STROUD AVE
KINGSBURG, CA 93631
(36.525153, -119.555556)",09/01/2016,36.525153,-119.555556,3.98695,777
045196,SOUTHRIDGE VILLAGE NURSING AND REHAB,HEBER SPRINGS,72543,Cleburne,For profit - Corporation,122,92,Medicare and Medicaid,False,Yes,"400 SOUTHRIDGE PARKWAY
HEBER SPRINGS, AR 72543
(35.492494, -91.998471)",09/01/2016,35.492494,-91.998471,4.12567,778
015391,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",JACKSONVILLE,36265,Calhoun,For profit - Corporation,167,139,Medicare and Medicaid,False,Yes,"410 WILSON DRIVE SOUTHWEST
JACKSONVILLE, AL 36265
(33.809973, -85.765334)",09/01/2016,33.809973,-85.765334,4.81469,779
056110,LAGUNA HILLS HEALTH AND REHABILITATION CENTER,LAGUNA HILLS,92653,Orange,For profit - Corporation,208,130,Medicare and Medicaid,False,Yes,"24452 HEALTH CENTER DRIVE
LAGUNA HILLS, CA 92653
(33.607375, -117.708138)",09/01/2016,33.607375,-117.708138,4.70561,780
045428,WALNUT GROVE NURSING AND REHABILITATION CENTER,SPRINGDALE,72764,Washington,For profit - Corporation,102,79,Medicare and Medicaid,False,Yes,"1393 E DON TYSON PARKWAY
SPRINGDALE, AR 72764
(36.152349, -94.116154)",09/01/2016,36.152349,-94.116154,4.30335,781
045168,"JOHNSON COUNTY HEALTH AND REHAB, LLC",CLARKSVILLE,72830,Johnson,For profit - Corporation,120,79,Medicare and Medicaid,False,Yes,"1451 EAST POPLAR STREET
CLARKSVILLE, AR 72830
(35.464254, -93.439192)",09/01/2016,35.464254,-93.439192,4.86325,782
035103,CITADEL POST ACUTE,MESA,85206,Maricopa,For profit - Corporation,128,84,Medicare and Medicaid,False,Yes,"5121 EAST BROADWAY ROAD
MESA, AZ 85206
(33.408373, -111.720684)",09/01/2016,33.408373,-111.720684,4.47441,783
055892,BERKELEY PINES SKILLED NURSING CENTER,BERKELEY,94705,Alameda,For profit - Limited Liability company,36,35,Medicare and Medicaid,False,Yes,"2223 ASHBY AVENUE
BERKELEY, CA 94705
(37.855792, -122.262655)",09/01/2016,37.855792,-122.262655,4.27527,784
035091,"HAVEN OF FLAGSTAFF, LLC",FLAGSTAFF,86001,Coconino,For profit - Corporation,80,69,Medicare and Medicaid,False,Yes,"800 WEST UNIVERSITY AVENUE
FLAGSTAFF, AZ 86001
(35.184219, -111.665254)",09/01/2016,35.184219,-111.665254,5.63203,785
